MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form3Away,Form5Home,Form5Away
2000-10-13,Borussia Dortmund,SC Freiburg,1649.11,1622.41,4.0,3.0,7.0,5.0
2000-10-14,1. FC Koln,VfL Bochum,1573.39,1586.5,0.0,7.0,2.0,7.0
2000-10-14,Munich 1860,Kaiserslautern,1679.0,1639.66,4.0,4.0,8.0,8.0
2000-10-14,Cottbus,Bayern Munich,1523.83,1850.17,1.0,6.0,4.0,9.0
2000-10-14,Schalke 04,Eintracht Frankfurt,1664.05,1635.94,4.0,5.0,8.0,8.0
2000-10-14,VfB Stuttgart,Hamburger SV,1643.71,1697.75,2.0,4.0,5.0,10.0
2000-10-14,Werder Bremen,Bayer Leverkusen,1661.17,1766.68,5.0,4.0,5.0,8.0
2000-10-15,Hansa Rostock,Hertha,1623.01,1668.48,9.0,6.0,10.0,9.0
2000-10-15,Unterhaching,VfL Wolfsburg,1600.16,1656.58,3.0,2.0,4.0,5.0
2000-10-20,Kaiserslautern,Werder Bremen,1662.31,1670.52,4.0,5.0,8.0,6.0
2000-10-21,Bayern Munich,Munich 1860,1836.62,1656.35,3.0,4.0,6.0,5.0
2000-10-21,Hamburger SV,Eintracht Frankfurt,1699.05,1625.87,5.0,2.0,8.0,5.0
2000-10-21,Hertha,Cottbus,1668.48,1537.38,6.0,4.0,9.0,7.0
2000-10-21,Bayer Leverkusen,Borussia Dortmund,1766.69,1653.94,5.0,4.0,6.0,10.0
2000-10-21,VfB Stuttgart,Unterhaching,1645.55,1600.16,3.0,3.0,6.0,4.0
2000-10-21,VfL Wolfsburg,1. FC Koln,1656.58,1581.33,5.0,3.0,8.0,4.0
2000-10-22,VfL Bochum,Hansa Rostock,1578.56,1623.01,4.0,6.0,7.0,10.0
2000-10-22,SC Freiburg,Schalke 04,1608.23,1674.12,0.0,6.0,4.0,8.0
2000-10-27,Cottbus,VfL Bochum,1537.38,1578.56,4.0,3.0,4.0,7.0
2000-10-28,Borussia Dortmund,Kaiserslautern,1653.94,1662.31,4.0,7.0,7.0,10.0
2000-10-28,Eintracht Frankfurt,SC Freiburg,1625.87,1608.23,1.0,3.0,5.0,6.0
2000-10-28,Hansa Rostock,VfL Wolfsburg,1623.01,1656.58,6.0,7.0,12.0,8.0
2000-10-28,Schalke 04,Bayer Leverkusen,1674.12,1766.69,3.0,5.0,7.0,8.0
2000-10-28,Unterhaching,Hamburger SV,1600.16,1699.05,1.0,7.0,4.0,8.0
2000-10-28,Werder Bremen,Bayern Munich,1670.52,1836.62,4.0,3.0,6.0,9.0
2000-10-29,1. FC Koln,VfB Stuttgart,1581.33,1645.55,3.0,3.0,3.0,4.0
2000-10-29,Munich 1860,Hertha,1656.35,1668.48,1.0,9.0,4.0,12.0
2000-11-03,Bayer Leverkusen,Eintracht Frankfurt,1781.76,1640.67,5.0,3.0,9.0,5.0
2000-11-04,Bayern Munich,Borussia Dortmund,1844.03,1649.9,4.0,3.0,7.0,4.0
2000-11-04,VfL Bochum,Munich 1860,1570.79,1652.68,0.0,0.0,4.0,4.0
2000-11-04,Hamburger SV,SC Freiburg,1731.33,1619.31,4.0,3.0,8.0,3.0
2000-11-04,Hertha,Werder Bremen,1708.65,1681.21,9.0,2.0,12.0,6.0
2000-11-04,Kaiserslautern,Schalke 04,1694.67,1674.76,9.0,4.0,10.0,7.0
2000-11-04,VfB Stuttgart,Hansa Rostock,1641.91,1628.9,2.0,4.0,4.0,10.0
2000-11-05,Unterhaching,1. FC Koln,1608.45,1590.18,4.0,6.0,7.0,6.0
2000-11-05,VfL Wolfsburg,Cottbus,1692.35,1552.88,7.0,6.0,9.0,7.0
2000-11-10,Borussia Dortmund,Hertha,1649.9,1708.65,0.0,9.0,4.0,15.0
2000-11-11,1. FC Koln,Hamburger SV,1590.18,1731.33,4.0,6.0,7.0,10.0
2000-11-11,Munich 1860,VfL Wolfsburg,1652.68,1692.35,1.0,5.0,2.0,9.0
2000-11-11,SC Freiburg,Bayer Leverkusen,1619.31,1781.76,3.0,7.0,3.0,9.0
