Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,HomeElo,AwayElo,Form3Home,Form3Away,Form5Home,Form5Away
2223,2022-09-03,VfL Wolfsburg,1. FC Koln,2,4,A,9.0,18.0,3.0,5.0,5.0,4.0,2.0,1.0,0.0,0.0,2.05,3.4,3.75,2.16,3.58,3.57,1666.65,1691.32,1.0,3.0,3.0,6.0
2223,2022-09-03,Eintracht Frankfurt,RB Leipzig,4,0,H,14.0,5.0,9.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,3.5,3.75,2.0,3.68,3.78,2.06,1730.24,1800.84,5.0,4.0,6.0,6.0
2223,2022-09-03,Union Berlin,Bayern Munich,1,1,D,10.0,21.0,3.0,6.0,5.0,7.0,1.0,2.0,0.0,0.0,7.0,5.25,1.36,7.55,5.74,1.39,1756.06,1966.93,7.0,7.0,13.0,11.0
2223,2022-09-03,VfL Bochum,Werder Bremen,0,2,A,19.0,16.0,6.0,6.0,7.0,3.0,2.0,2.0,0.0,0.0,2.9,3.6,2.3,2.99,3.71,2.39,1592.57,1608.3,0.0,4.0,0.0,8.0
2223,2022-09-03,Bayer Leverkusen,SC Freiburg,2,3,A,15.0,5.0,6.0,3.0,8.0,4.0,2.0,2.0,0.0,0.0,1.9,3.75,3.8,1.92,4.01,3.97,1768.06,1732.8,3.0,6.0,6.0,9.0
2223,2022-09-03,VfB Stuttgart,Schalke 04,1,1,D,13.0,13.0,3.0,4.0,5.0,7.0,4.0,2.0,1.0,0.0,1.75,4.0,4.33,1.79,4.18,4.4,1622.42,1569.18,2.0,2.0,6.0,5.0
2223,2022-09-04,FC Augsburg,Hertha,0,2,A,8.0,16.0,2.0,6.0,5.0,1.0,2.0,1.0,0.0,0.0,2.45,3.3,2.87,2.59,3.4,2.94,1604.61,1588.46,3.0,1.0,6.0,1.0
2223,2022-09-09,Werder Bremen,FC Augsburg,0,1,A,11.0,14.0,6.0,5.0,3.0,7.0,4.0,5.0,0.0,0.0,1.53,4.5,5.5,1.56,4.71,5.9,1608.3,1604.61,6.0,0.0,8.0,3.0
2223,2022-09-10,Bayern Munich,VfB Stuttgart,2,2,D,18.0,8.0,7.0,3.0,3.0,0.0,2.0,5.0,0.0,0.0,1.14,8.0,17.0,1.17,8.98,16.13,1966.93,1622.42,5.0,2.0,11.0,4.0
2223,2022-09-10,Eintracht Frankfurt,VfL Wolfsburg,0,1,A,11.0,6.0,0.0,3.0,10.0,5.0,2.0,4.0,0.0,0.0,2.0,3.6,3.6,2.09,3.57,3.8,1730.24,1666.65,7.0,1.0,8.0,2.0
2223,2022-09-10,Hertha,Bayer Leverkusen,2,2,D,17.0,11.0,6.0,5.0,3.0,5.0,3.0,1.0,0.0,0.0,3.6,4.0,1.9,3.76,4.11,1.94,1588.46,1768.06,3.0,3.0,4.0,3.0
2223,2022-09-10,TSG Hoffenheim,FSV Mainz 05,4,1,H,21.0,10.0,9.0,2.0,7.0,5.0,3.0,2.0,0.0,1.0,2.25,3.75,2.9,2.36,3.58,3.14,1688.0,1682.74,6.0,6.0,9.0,10.0
2223,2022-09-10,RB Leipzig,Borussia Dortmund,3,0,H,14.0,4.0,5.0,0.0,5.0,8.0,2.0,1.0,0.0,0.0,2.3,3.9,2.75,2.39,3.94,2.86,1800.84,1806.69,3.0,6.0,5.0,12.0
2223,2022-09-10,Schalke 04,VfL Bochum,3,1,H,20.0,9.0,8.0,2.0,3.0,8.0,2.0,3.0,0.0,0.0,2.0,3.8,3.5,2.07,3.69,3.73,1569.18,1592.57,2.0,0.0,3.0,0.0
2223,2022-09-11,1. FC Koln,Union Berlin,0,1,A,7.0,12.0,2.0,3.0,7.0,8.0,4.0,1.0,1.0,0.0,2.37,3.4,2.9,2.54,3.53,2.89,1691.32,1756.06,5.0,7.0,9.0,11.0
2223,2022-09-16,FSV Mainz 05,Hertha,1,1,D,12.0,4.0,2.0,2.0,4.0,3.0,3.0,5.0,0.0,0.0,1.72,4.0,4.33,1.79,4.0,4.64,1673.63,1598.25,3.0,4.0,7.0,5.0
2223,2022-09-17,VfB Stuttgart,Eintracht Frankfurt,1,3,A,15.0,13.0,2.0,8.0,7.0,4.0,2.0,0.0,0.0,0.0,2.25,3.5,3.1,2.37,3.64,3.08,1621.15,1724.68,3.0,6.0,4.0,8.0
2223,2022-09-17,Bayer Leverkusen,Werder Bremen,1,1,D,19.0,19.0,7.0,7.0,9.0,6.0,2.0,3.0,0.0,0.0,1.61,4.33,5.0,1.67,4.6,4.83,1753.78,1604.17,4.0,3.0,4.0,7.0
2223,2022-09-17,FC Augsburg,Bayern Munich,1,0,H,9.0,21.0,4.0,7.0,2.0,8.0,3.0,1.0,0.0,0.0,17.0,8.0,1.16,14.69,9.0,1.18,1594.06,1964.85,3.0,3.0,6.0,9.0
2223,2022-09-17,Borussia Dortmund,Schalke 04,1,0,H,19.0,3.0,7.0,0.0,11.0,2.0,3.0,2.0,0.0,0.0,1.36,5.0,8.0,1.41,5.61,7.33,1791.14,1575.28,6.0,4.0,9.0,6.0
2223,2022-09-18,Union Berlin,VfL Wolfsburg,2,0,H,16.0,5.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.95,3.5,3.8,2.07,3.43,4.02,1747.2,1658.78,7.0,3.0,11.0,4.0
2223,2022-09-18,VfL Bochum,1. FC Koln,1,1,D,7.0,18.0,0.0,3.0,4.0,8.0,0.0,1.0,0.0,0.0,3.1,3.6,2.2,3.09,3.75,2.31,1563.49,1689.21,0.0,4.0,0.0,6.0
2223,2022-09-18,TSG Hoffenheim,SC Freiburg,0,0,D,10.0,14.0,3.0,4.0,5.0,3.0,1.0,2.0,0.0,0.0,2.15,3.6,3.2,2.24,3.71,3.27,1689.79,1736.53,6.0,7.0,12.0,10.0
2223,2022-09-30,Bayern Munich,Bayer Leverkusen,4,0,H,20.0,10.0,10.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,1.36,6.0,7.0,1.41,6.02,6.71,1964.85,1753.78,2.0,2.0,6.0,5.0
2223,2022-10-01,VfL Wolfsburg,VfB Stuttgart,3,2,H,20.0,15.0,7.0,7.0,8.0,5.0,3.0,5.0,0.0,0.0,2.4,3.4,2.9,2.41,3.53,3.08,1652.8,1613.48,3.0,2.0,4.0,3.0
2223,2022-10-01,RB Leipzig,VfL Bochum,4,0,H,17.0,2.0,9.0,1.0,7.0,2.0,0.0,2.0,0.0,0.0,1.22,6.5,12.0,1.25,7.21,11.05,1752.14,1567.21,3.0,1.0,6.0,1.0
2223,2022-10-01,SC Freiburg,FSV Mainz 05,2,1,H,13.0,17.0,6.0,7.0,5.0,5.0,2.0,4.0,0.0,0.0,2.1,3.6,3.4,2.13,3.66,3.57,1745.68,1671.72,5.0,4.0,11.0,7.0
2223,2022-10-01,Eintracht Frankfurt,Union Berlin,2,0,H,14.0,14.0,4.0,5.0,4.0,7.0,3.0,4.0,1.0,0.0,2.25,3.4,3.2,2.31,3.52,3.27,1734.89,1747.66,6.0,7.0,10.0,13.0
2223,2022-10-01,1. FC Koln,Borussia Dortmund,3,2,H,20.0,21.0,16.0,13.0,7.0,11.0,4.0,3.0,0.0,0.0,3.1,4.0,2.05,3.36,3.93,2.12,1691.55,1794.92,4.0,6.0,6.0,9.0
2223,2022-10-02,Hertha,TSG Hoffenheim,1,1,D,13.0,16.0,5.0,4.0,2.0,6.0,2.0,1.0,0.0,0.0,2.75,3.75,2.37,2.88,3.81,2.42,1602.69,1691.42,5.0,4.0,5.0,10.0
2223,2022-10-02,Schalke 04,FC Augsburg,2,3,A,16.0,11.0,5.0,5.0,8.0,4.0,2.0,6.0,0.0,1.0,1.95,3.8,3.6,1.99,3.75,3.95,1574.03,1610.52,4.0,6.0,5.0,6.0
2223,2022-10-07,TSG Hoffenheim,Werder Bremen,1,2,A,16.0,8.0,6.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.95,3.8,3.5,2.05,4.02,3.48,1691.42,1610.38,5.0,4.0,8.0,7.0
2223,2022-10-08,Borussia Dortmund,Bayern Munich,2,2,D,13.0,9.0,6.0,3.0,7.0,4.0,3.0,6.0,0.0,1.0,4.33,4.75,1.65,4.53,4.88,1.67,1794.92,1956.28,3.0,4.0,9.0,6.0
2223,2022-10-08,FSV Mainz 05,RB Leipzig,1,1,D,9.0,12.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,3.0,3.6,2.3,3.07,3.66,2.36,1671.72,1752.14,1.0,6.0,4.0,9.0
2223,2022-10-08,VfL Bochum,Eintracht Frankfurt,3,0,H,11.0,11.0,6.0,2.0,9.0,4.0,2.0,1.0,0.0,0.0,3.75,3.8,1.9,4.01,4.01,1.91,1567.21,1734.89,1.0,6.0,1.0,12.0
2223,2022-10-08,Bayer Leverkusen,Schalke 04,4,0,H,13.0,2.0,7.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.45,4.5,7.0,1.47,5.02,6.83,1744.75,1574.03,2.0,3.0,5.0,4.0
2223,2022-10-08,FC Augsburg,VfL Wolfsburg,1,1,D,18.0,12.0,5.0,7.0,11.0,5.0,5.0,3.0,0.0,0.0,2.9,3.4,2.4,3.04,3.43,2.49,1610.52,1652.8,9.0,6.0,9.0,6.0
2223,2022-10-09,Hertha,SC Freiburg,2,2,D,11.0,10.0,3.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,3.0,3.5,2.3,3.18,3.41,2.41,1602.69,1745.68,3.0,5.0,6.0,11.0
2223,2022-10-09,VfB Stuttgart,Union Berlin,0,1,A,9.0,7.0,3.0,4.0,2.0,5.0,3.0,3.0,1.0,0.0,2.55,3.1,2.9,2.65,3.25,2.97,1613.48,1747.66,1.0,6.0,3.0,10.0
2223,2022-10-14,Schalke 04,TSG Hoffenheim,0,3,A,14.0,18.0,2.0,7.0,4.0,5.0,2.0,2.0,0.0,0.0,3.6,3.8,1.95,3.72,3.87,2.02,1574.03,1691.42,0.0,2.0,4.0,5.0
2223,2022-10-15,RB Leipzig,Hertha,3,2,H,14.0,16.0,5.0,5.0,8.0,4.0,2.0,3.0,0.0,0.0,1.4,5.0,7.0,1.43,5.03,7.84,1770.51,1607.26,4.0,3.0,7.0,7.0
2223,2022-10-15,Werder Bremen,FSV Mainz 05,0,2,A,14.0,11.0,4.0,5.0,3.0,3.0,1.0,2.0,0.0,0.0,2.37,3.6,2.87,2.38,3.68,3.02,1641.48,1668.53,7.0,2.0,10.0,5.0
2223,2022-10-15,VfB Stuttgart,VfL Bochum,4,1,H,16.0,14.0,7.0,4.0,3.0,3.0,0.0,3.0,0.0,0.0,1.65,4.0,5.25,1.68,4.03,5.5,1602.3,1581.49,0.0,4.0,2.0,4.0
2223,2022-10-15,Eintracht Frankfurt,Bayer Leverkusen,5,1,H,20.0,5.0,11.0,2.0,7.0,1.0,0.0,4.0,0.0,1.0,2.75,3.6,2.45,2.84,3.62,2.54,1724.22,1730.19,6.0,4.0,9.0,5.0
2223,2022-10-16,1. FC Koln,FC Augsburg,3,2,H,14.0,7.0,6.0,3.0,5.0,3.0,2.0,4.0,0.0,0.0,1.66,4.0,5.0,1.71,4.27,4.84,1663.91,1619.3,4.0,7.0,7.0,10.0
2223,2022-10-16,Union Berlin,Borussia Dortmund,2,0,H,14.0,13.0,5.0,6.0,5.0,8.0,1.0,2.0,0.0,0.0,2.9,3.5,2.37,3.06,3.51,2.44,1748.81,1801.83,6.0,4.0,10.0,7.0
2223,2022-10-16,Bayern Munich,SC Freiburg,5,0,H,18.0,6.0,8.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,1.25,6.5,9.0,1.29,6.13,10.79,1959.34,1763.78,4.0,5.0,6.0,9.0
2223,2022-10-21,FSV Mainz 05,1. FC Koln,5,0,H,15.0,6.0,7.0,2.0,5.0,4.0,1.0,5.0,0.0,1.0,2.15,3.5,3.25,2.19,3.59,3.47,1668.53,1663.91,4.0,6.0,5.0,7.0
2223,2022-10-22,Bayer Leverkusen,VfL Wolfsburg,2,2,D,13.0,9.0,5.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,1.7,4.2,4.5,1.74,4.31,4.6,1730.19,1659.46,3.0,5.0,5.0,8.0
2223,2022-10-22,TSG Hoffenheim,Bayern Munich,0,2,A,7.0,23.0,3.0,10.0,7.0,5.0,3.0,2.0,0.0,0.0,5.5,5.0,1.5,5.89,4.97,1.53,1690.49,1959.34,4.0,7.0,8.0,8.0
2223,2022-10-22,SC Freiburg,Werder Bremen,2,0,H,25.0,10.0,7.0,2.0,6.0,2.0,2.0,2.0,0.0,1.0,1.9,3.75,3.8,1.94,3.86,4.0,1763.78,1641.48,4.0,6.0,6.0,7.0
2223,2022-10-22,Borussia Dortmund,VfB Stuttgart,5,0,H,19.0,10.0,10.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,1.53,4.75,5.5,1.57,4.44,6.06,1801.83,1602.3,1.0,3.0,4.0,4.0
2223,2022-10-22,FC Augsburg,RB Leipzig,3,3,D,11.0,19.0,3.0,8.0,3.0,6.0,7.0,1.0,1.0,0.0,5.5,4.33,1.57,5.75,4.4,1.6,1619.3,1770.51,4.0,7.0,10.0,10.0
2223,2022-10-23,VfL Bochum,Union Berlin,2,1,H,8.0,6.0,5.0,3.0,3.0,7.0,1.0,3.0,0.0,0.0,4.33,3.4,1.9,4.48,3.48,1.95,1581.49,1748.81,3.0,6.0,4.0,12.0
2223,2022-10-23,Hertha,Schalke 04,2,1,H,11.0,9.0,4.0,2.0,5.0,6.0,5.0,1.0,0.0,0.0,1.75,3.75,4.75,1.78,3.99,4.71,1607.26,1549.66,2.0,0.0,4.0,3.0
2223,2022-10-28,Werder Bremen,Hertha,1,0,H,15.0,9.0,4.0,1.0,4.0,5.0,2.0,3.0,0.0,0.0,2.0,3.8,3.4,2.06,3.99,3.49,1641.48,1607.26,3.0,4.0,7.0,6.0
2223,2022-10-29,Eintracht Frankfurt,Borussia Dortmund,1,2,A,20.0,8.0,8.0,2.0,4.0,3.0,5.0,5.0,0.0,0.0,2.75,3.75,2.4,2.88,3.7,2.47,1724.22,1801.83,6.0,4.0,12.0,7.0
2223,2022-10-29,VfB Stuttgart,FC Augsburg,2,1,H,31.0,12.0,8.0,6.0,10.0,3.0,1.0,2.0,0.0,0.0,1.8,3.8,4.33,1.81,3.98,4.51,1602.3,1619.3,3.0,2.0,3.0,8.0
2223,2022-10-29,VfL Wolfsburg,VfL Bochum,4,0,H,22.0,10.0,7.0,3.0,7.0,2.0,1.0,1.0,0.0,0.0,1.65,4.2,4.75,1.72,4.24,4.85,1659.46,1581.49,3.0,6.0,6.0,7.0
2223,2022-10-29,Bayern Munich,FSV Mainz 05,6,2,H,25.0,13.0,12.0,5.0,8.0,5.0,1.0,1.0,0.0,0.0,1.25,6.5,11.0,1.27,6.7,10.23,1959.34,1668.53,7.0,7.0,10.0,8.0
2223,2022-10-29,RB Leipzig,Bayer Leverkusen,2,0,H,10.0,4.0,6.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,1.8,4.0,4.1,1.83,4.12,4.27,1770.51,1730.19,5.0,4.0,8.0,5.0
2223,2022-10-30,Schalke 04,SC Freiburg,0,2,A,12.0,19.0,3.0,9.0,4.0,8.0,3.0,2.0,0.0,0.0,4.0,3.75,1.9,4.13,3.75,1.94,1549.66,1763.78,0.0,4.0,0.0,8.0
2223,2022-10-30,1. FC Koln,TSG Hoffenheim,1,1,D,11.0,9.0,3.0,4.0,5.0,4.0,1.0,2.0,0.0,1.0,2.9,3.5,2.37,3.06,3.66,2.37,1663.91,1690.49,3.0,3.0,7.0,5.0
2223,2022-11-05,FSV Mainz 05,VfL Wolfsburg,0,3,A,16.0,10.0,3.0,3.0,9.0,4.0,1.0,1.0,0.0,0.0,2.0,3.75,3.5,2.07,3.68,3.72,1705.32,1685.69,6.0,5.0,7.0,9.0
