Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA
2223,2022-08-27,TSG Hoffenheim,FC Augsburg,1,0,H,24.0,12.0,6.0,1.0,4.0,6.0,1.0,1.0,0.0,0.0,1.45,4.5,7.0,1.49,4.99,6.52
2223,2022-08-27,Hertha,Borussia Dortmund,0,1,A,12.0,24.0,3.0,7.0,6.0,10.0,1.0,0.0,0.0,0.0,4.5,4.33,1.66,4.55,4.62,1.7
2223,2022-08-27,FSV Mainz 05,Bayer Leverkusen,0,3,A,17.0,7.0,3.0,5.0,3.0,4.0,1.0,6.0,0.0,2.0,2.75,3.75,2.37,2.75,3.82,2.52
2223,2022-08-28,1. FC Koln,VfB Stuttgart,0,0,D,6.0,13.0,2.0,5.0,6.0,8.0,2.0,2.0,0.0,1.0,2.05,3.75,3.4,2.16,3.67,3.48
2223,2022-08-28,Werder Bremen,Eintracht Frankfurt,3,4,A,10.0,12.0,4.0,7.0,5.0,7.0,1.0,3.0,0.0,0.0,2.45,3.5,2.8,2.58,3.55,2.83
2223,2022-09-02,Borussia Dortmund,TSG Hoffenheim,1,0,H,16.0,7.0,5.0,2.0,5.0,8.0,3.0,4.0,0.0,0.0,1.61,4.5,4.75,1.69,4.66,4.59
2223,2022-09-03,VfL Wolfsburg,1. FC Koln,2,4,A,9.0,18.0,3.0,5.0,5.0,4.0,2.0,1.0,0.0,0.0,2.05,3.4,3.75,2.16,3.58,3.57
2223,2022-09-03,Eintracht Frankfurt,RB Leipzig,4,0,H,14.0,5.0,9.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,3.5,3.75,2.0,3.68,3.78,2.06
2223,2022-09-03,Union Berlin,Bayern Munich,1,1,D,10.0,21.0,3.0,6.0,5.0,7.0,1.0,2.0,0.0,0.0,7.0,5.25,1.36,7.55,5.74,1.39
2223,2022-09-03,VfL Bochum,Werder Bremen,0,2,A,19.0,16.0,6.0,6.0,7.0,3.0,2.0,2.0,0.0,0.0,2.9,3.6,2.3,2.99,3.71,2.39
2223,2022-09-03,Bayer Leverkusen,SC Freiburg,2,3,A,15.0,5.0,6.0,3.0,8.0,4.0,2.0,2.0,0.0,0.0,1.9,3.75,3.8,1.92,4.01,3.97
2223,2022-09-03,VfB Stuttgart,Schalke 04,1,1,D,13.0,13.0,3.0,4.0,5.0,7.0,4.0,2.0,1.0,0.0,1.75,4.0,4.33,1.79,4.18,4.4
