Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA
2223,2022-10-30,Union Berlin,Borussia Monchengladbach,2,1,H,14.0,7.0,5.0,3.0,6.0,5.0,3.0,2.0,0.0,0.0,2.05,3.4,3.8,2.06,3.53,3.95
2223,2022-10-30,Schalke 04,SC Freiburg,0,2,A,12.0,19.0,3.0,9.0,4.0,8.0,3.0,2.0,0.0,0.0,4.0,3.75,1.9,4.13,3.75,1.94
2223,2022-10-30,1. FC Koln,TSG Hoffenheim,1,1,D,11.0,9.0,3.0,4.0,5.0,4.0,1.0,2.0,0.0,1.0,2.9,3.5,2.37,3.06,3.66,2.37
2223,2022-11-04,Borussia Monchengladbach,VfB Stuttgart,3,1,H,11.0,13.0,6.0,4.0,3.0,5.0,2.0,1.0,0.0,0.0,2.15,3.75,3.1,2.26,3.81,3.16
2223,2022-11-05,FSV Mainz 05,VfL Wolfsburg,0,3,A,16.0,10.0,3.0,3.0,9.0,4.0,1.0,1.0,0.0,0.0,2.0,3.75,3.5,2.07,3.68,3.72
2223,2022-11-05,Werder Bremen,Schalke 04,2,1,H,11.0,19.0,5.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,1.65,4.33,4.5,1.66,4.42,5.11
2223,2022-11-05,TSG Hoffenheim,RB Leipzig,1,3,A,11.0,17.0,3.0,8.0,6.0,3.0,4.0,2.0,0.0,0.0,2.9,3.75,2.25,3.06,3.75,2.33
2223,2022-11-05,Hertha,Bayern Munich,2,3,A,7.0,14.0,5.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,10.0,6.5,1.25,11.21,6.52,1.27
2223,2022-11-05,Borussia Dortmund,VfL Bochum,3,0,H,6.0,7.0,3.0,1.0,2.0,5.0,1.0,1.0,0.0,0.0,1.22,7.0,11.0,1.25,6.51,12.47
2223,2022-11-05,FC Augsburg,Eintracht Frankfurt,1,2,A,9.0,12.0,5.0,7.0,3.0,6.0,0.0,1.0,0.0,0.0,4.33,4.0,1.72,4.52,4.16,1.78
2223,2022-11-06,Bayer Leverkusen,Union Berlin,5,0,H,11.0,6.0,8.0,1.0,1.0,5.0,1.0,4.0,0.0,0.0,2.15,3.4,3.4,2.2,3.48,3.57
2223,2022-11-06,SC Freiburg,1. FC Koln,2,0,H,13.0,6.0,5.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,1.7,4.0,4.75,1.72,4.06,5.1
2223,2022-11-08,VfL Wolfsburg,Borussia Dortmund,2,0,H,15.0,20.0,8.0,6.0,6.0,9.0,4.0,2.0,0.0,0.0,3.1,3.6,2.2,3.17,3.64,2.32
2223,2022-11-08,Bayern Munich,Werder Bremen,6,1,H,21.0,4.0,10.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,1.14,9.5,15.0,1.16,8.84,17.46
2223,2022-11-08,VfL Bochum,Borussia Monchengladbach,2,1,H,13.0,8.0,4.0,2.0,6.0,3.0,1.0,3.0,0.0,0.0,3.2,3.5,2.25,3.28,3.64,2.26
2223,2022-11-08,VfB Stuttgart,Hertha,2,1,H,16.0,11.0,7.0,4.0,8.0,5.0,3.0,2.0,0.0,0.0,1.95,3.8,3.75,1.97,3.76,3.99
2223,2022-11-09,1. FC Koln,Bayer Leverkusen,1,2,A,17.0,10.0,7.0,3.0,6.0,1.0,1.0,2.0,0.0,0.0,3.0,3.75,2.2,3.21,3.6,2.31
2223,2022-11-09,Eintracht Frankfurt,TSG Hoffenheim,4,2,H,15.0,12.0,8.0,3.0,4.0,5.0,0.0,3.0,0.0,0.0,1.9,3.8,3.75,1.96,3.84,3.95
2223,2022-11-09,RB Leipzig,SC Freiburg,3,1,H,18.0,4.0,8.0,2.0,6.0,2.0,1.0,4.0,0.0,0.0,1.72,4.0,4.5,1.8,4.2,4.36
2223,2022-11-09,Schalke 04,FSV Mainz 05,1,0,H,13.0,11.0,4.0,1.0,1.0,6.0,3.0,1.0,0.0,0.0,3.4,3.75,2.05,3.52,3.77,2.11
2223,2022-11-09,Union Berlin,FC Augsburg,2,2,D,18.0,7.0,6.0,2.0,6.0,3.0,1.0,4.0,0.0,0.0,1.55,4.2,6.0,1.57,4.21,6.65
2223,2022-11-11,Borussia Monchengladbach,Borussia Dortmund,4,2,H,11.0,20.0,6.0,10.0,2.0,9.0,1.0,2.0,0.0,0.0,3.2,4.0,2.15,3.33,3.9,2.15
2223,2022-11-12,Schalke 04,Bayern Munich,0,2,A,6.0,22.0,2.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,15.0,7.5,1.16,17.47,8.34,1.17
2223,2022-11-12,Werder Bremen,RB Leipzig,1,2,A,7.0,14.0,5.0,3.0,0.0,4.0,1.0,2.0,0.0,0.0,3.6,4.0,1.9,3.7,4.12,1.96
2223,2022-11-12,Bayer Leverkusen,VfB Stuttgart,2,0,H,11.0,7.0,3.0,1.0,4.0,2.0,2.0,3.0,0.0,0.0,1.72,4.2,4.33,1.73,4.21,4.78
2223,2022-11-12,Hertha,1. FC Koln,2,0,H,17.0,10.0,8.0,2.0,10.0,5.0,3.0,1.0,0.0,0.0,2.2,3.6,3.1,2.3,3.68,3.17
2223,2022-11-12,FC Augsburg,VfL Bochum,0,1,A,19.0,11.0,5.0,4.0,6.0,2.0,1.0,1.0,0.0,0.0,2.2,3.5,3.2,2.23,3.62,3.36
2223,2022-11-12,TSG Hoffenheim,VfL Wolfsburg,1,2,A,22.0,6.0,8.0,3.0,7.0,1.0,0.0,3.0,0.0,0.0,2.25,3.75,3.1,2.28,3.77,3.14
2223,2022-11-13,FSV Mainz 05,Eintracht Frankfurt,1,1,D,19.0,10.0,6.0,3.0,5.0,2.0,2.0,2.0,0.0,0.0,2.75,3.5,2.45,2.84,3.76,2.47
2223,2022-11-13,SC Freiburg,Union Berlin,4,1,H,7.0,4.0,5.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,3.3,4.0,2.06,3.32,4.25
2223,2023-01-20,RB Leipzig,Bayern Munich,1,1,D,10.0,7.0,3.0,2.0,3.0,2.0,2.0,3.0,0.0,0.0,3.6,4.33,1.85,3.93,4.24,1.88
2223,2023-01-21,VfB Stuttgart,FSV Mainz 05,1,1,D,16.0,12.0,4.0,2.0,3.0,5.0,1.0,3.0,0.0,0.0,2.4,3.5,2.88,2.44,3.54,3.03
